Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Zeta,Medium,RPM,C%,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,inhibition
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,5,NA,1.32
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,6,NA,25,16,1,1100000,1.634472539
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,2,898466257.7,1.656968228
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,96,2250,25,12,1,2.00E+06,1.66
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,6,NA,25,16,1,550000,1.69230769
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,10,NA,1.85
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,72,6672,22,24,5,NA,1.869158023
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,96,4000,20,12,5,NA,1.89731875
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,24,4000,25,12,5,2500000,1.93548162
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,1,48,NA,25,16,1,550000,1.97
13,1,3,1,2,NA,2,2,NA,5,90,92.13,8,2,144,1300,20,16,1,250000,2
5,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,0.33,25000,2
10,1,3,1,2,3500,10,10,NA,7,100,92,3,3,96,4448,24,16,0.1,50000,2
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,1,898466257.7,2.051484399
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,96,NA,24,24,0.1,65000,2.086638194
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,0,48,NA,25,16,0.01,550000,2.13
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,0.5,898466257.7,2.248742533
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,24,4000,25,12,5,2500000,2.424241531
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,0.1,898466257.7,2.494252874
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,24,4000,25,12,1,2500000,2.580643949
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,72,NA,24,24,1,64800,2.593546506
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,72,3892,20,12,1,10000,2.609363002
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,24,6672,22,24,5,NA,2.66272009
14,1,3,1,2,10000,1.2,1.2,-31.5,7,200,95,8,4,72,6000,23,24,1.1,10000,2.663628034
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,24,NA,25,16,0.001,NA,2.680412371
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,24,NA,25,16,0.001,550000,2.73
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,24,10000,25,12,0.045,2000,2.76
14,1,3,1,2,10000,1.5,1.5,NA,7,200,95,8,4,72,NA,22.5,NA,1,10000,2.8
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,120,5560,18,12,0.5,837000,2.809917362
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,36,10000,25,12,0.045,2000,2.86
10,1,0,2,0,NA,NA,NA,-28.032,3,0,NA,2,1,96,NA,24,24,0.01,50000,2.90148448
5,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,0.42,25000,3
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,2,1,96,NA,24,24,0.01,50000,3.036437247
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,18,NA,25,16,1,550000,3.115727011
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,6,NA,25,16,10,1100000,3.120356597
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,48,3300,25,14,0.1,5.00E+05,3.190060443
11,1,0,2,0,1750,1750,0.875,-20.55,7,0,NA,3,3,96,3500,24,12,0.709960453,3.00E+05,3.22
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,24,NA,25,16,1,550000,3.230337079
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,24,6672,22,24,10,NA,3.254439584
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,0.2,898466257.7,3.333333333
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,0,48,NA,25,16,0.001,550000,3.39
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,48,NA,25,14,0.1,780000,3.402187158
14,1,3,1,2,10000,1.2,1.2,-31.5,7,200,95,8,4,72,6000,23,24,3.5,10000,3.491003741
10,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,0.33,50000,3.5
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,72,3892,20,12,1,10000,3.53031465
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,24,NA,25,16,0.01,NA,3.556701031
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,24,NA,25,16,0.01,550000,3.59
11,1,0,2,0,1750,1750,0.875,-21.91666667,7,0,64,3,3,96,3500,24,12,0.49063047,3.00E+05,3.62
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,72,4448,NA,NA,40,NA,3.63610991
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,24,4000,25,12,10,2500000,3.636362296
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,5,898466257.7,3.747904186
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,72,10000,25,12,0.09,2000,3.87
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,18,NA,25,16,1,1100000,3.901437387
14,1,3,1,2,10000,1.5,1.5,NA,7,200,95,8,4,72,NA,22.5,NA,3,10000,3.97
11,1,0,2,0,1250,1250,1,-30.8,3,0,NA,1,3,72,5000,25,12,5,NA,4.11
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,24,NA,25,16,0.1,NA,4.12371134
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,24,NA,25,16,0.1,550000,4.14
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,96,NA,25,16,0.001,550000,4.14
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,60,10000,25,12,0.09,2000,4.15
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,24,4000,25,12,100,2500000,4.166667297
11,1,0,2,0,1250,1250,1,-33.6,3,0,NA,6,3,72,5000,25,12,10,NA,4.17
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,0.5,898466257.7,4.218390805
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,48,6672,22,24,5,NA,4.221634059
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,144,4448,NA,NA,20,NA,4.225357064
11,1,0,2,0,1250,1250,1,-30.8,3,0,NA,1,3,72,5000,25,12,10,NA,4.23
11,1,0,2,0,1250,1250,1,-42.1,3,0,NA,1,1,72,5000,25,12,20,NA,4.28
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,96,3300,25,14,0.1,5.00E+05,4.377564979
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,72,3300,25,14,0.1,5.00E+05,4.398925453
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,48,6672,22,24,10,NA,4.485485626
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,96,NA,24,24,1,65000,4.502745577
11,1,0,2,0,2000,2000,2.5,-14.20454545,7,0,91,8,3,96,3500,24,12,0.1,3.00E+05,4.57
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,96,3300,25,14,0.1,5.00E+05,4.603580646
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,6,NA,25,16,20,1100000,4.606240738
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,24,NA,25,14,0.1,780000,4.64344942
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,15,2270000,4.743014827
3,0,3,1,2,20000,25,25,NA,2,0,95,8,4,168,6672,22,24,10,NA,4.794519909
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,96,NA,25,16,0.001,550000,4.9
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,96,NA,25,16,0.001,NA,4.921875
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,72,6000,23,14,10,898466257.7,4.931452854
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,96,NA,25,16,0.01,550000,4.97
10,1,3,1,2,3500,10,10,NA,7,100,92,3,3,96,4448,24,16,0.33,50000,5
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,96,NA,25,16,0.001,550000,5.09
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,1,898466257.7,5.091954023
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,24,NA,25,16,1,550000,5.26
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,48,NA,25,16,0.1,NA,5.304010349
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,3,48,NA,25,16,0.1,550000,5.32
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,2,898466257.7,5.402298851
10,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,0.042,50000,5.5
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,48,4000,25,12,5,2500000,5.633803141
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,0,96,NA,25,16,0.1,550000,5.64
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,96,3300,25,14,0.1,5.00E+05,5.745554036
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,48,10000,25,12,0.09,2000,5.99
10,1,3,1,2,3500,10,10,NA,7,100,92,3,2,96,4448,24,16,0.17,50000,6
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,48,NA,24,24,10,65000,6.006389776
11,1,0,2,0,1250,1250,1,-30.8,3,0,NA,1,3,72,5000,25,12,20,NA,6.22
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,6,NA,25,16,30,1100000,6.240713277
0,1,1,0,1,NA,NA,NA,NA,0,125,99.5,0,3,216,4448,NA,NA,40,NA,6.24999543
12,1,3,1,2,3200,70,70,NA,7,0,97.1,8,3,96,5560,25,14,5,1.00E+05,6.445115811
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,36,10000,25,12,0.09,2000,6.45
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,24,3300,25,14,0.1,5.00E+05,6.466984343
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,72,10000,25,12,0.18,2000,6.63
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,48,4000,25,12,50,2500000,6.690140559
14,1,3,1,2,10000,27.5,27.5,NA,7,200,98,8,4,72,NA,22.5,NA,1,10000,6.714761376
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,48,4000,25,12,1,2500000,6.751055104
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,24,NA,25,16,1,1100000,6.778087277
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,96,NA,25,16,0.01,550000,6.78
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,96,NA,25,16,0.01,NA,6.796875
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,72,NA,25,14,0.1,780000,6.797116372
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,3,48,NA,25,16,1,550000,6.85
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,48,NA,25,16,1,NA,6.856403622
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,15,NA,6.88
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,2,1,96,NA,24,24,0.01,50000,6.882591093
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,5,898466257.7,6.908045977
13,1,3,1,2,NA,2,2,NA,5,90,92.13,8,2,144,1300,20,16,10,250000,7
5,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,3,25000,7
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,1,48,NA,25,16,0.001,550000,7.05
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,3,48,NA,25,16,0.001,550000,7.13
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,48,NA,25,16,0.001,NA,7.141009056
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,20,2270000,7.186386069
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,48,NA,25,16,0.01,NA,7.192755498
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,3,48,NA,25,16,0.01,550000,7.2
10,1,0,2,0,NA,NA,NA,NA,3,0,56.08,5,3,6,NA,25,16,1,1100000,7.230769166
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,72,3300,25,14,0.1,5.00E+05,7.387508395
12,1,0,2,0,3500,3500,1.2,-29.4,3,NA,40.3,3,3,72,NA,24,14,5,1.00E+05,7.5
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,48,4000,20,12,50,NA,7.547168261
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,0,48,NA,25,16,0.1,550000,7.55
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,48,3300,25,14,0.1,5.00E+05,7.62256548
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,72,4000,25,12,10,2500000,7.635467874
12,1,3,1,2,2200,45,45,NA,7,110,93.75,3,3,96,5560,25,14,1,150000,7.636363636
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,144,4000,25,12,1,2500000,7.744874799
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,24,NA,25,14,10,780000,7.794361527
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,72,4000,25,12,5,2500000,7.881773754
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,96,NA,25,16,0.1,550000,7.91
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,96,NA,25,16,0.1,NA,7.916666667
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,96,NA,25,14,0.1,780000,7.933333339
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,96,4000,25,12,10,2500000,8.037383113
12,1,3,1,2,2100,47,47,NA,7,110,92.44,3,3,96,5560,25,14,1,150000,8.072727273
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,96,NA,25,16,1,NA,8.098958333
10,1,6,2,0,160,160,4,NA,3,150,79.24,8,3,72,5560,25,14,10,1.00E+06,8.11731315
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,96,NA,25,16,1,550000,8.12
11,1,0,2,0,1750,1750,0.875,-20.55,7,0,NA,3,3,96,3500,24,12,1.380778736,3.00E+05,8.16
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,1,48,NA,25,16,0.01,550000,8.17
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,24,NA,20,12,10,1600000,8.187134497
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,48,NA,25,14,1,780000,8.26245444
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,72,NA,25,16,0.1,550000,8.28
10,1,0,2,0,NA,NA,NA,-20.672,3,0,NA,2,3,96,NA,24,24,0.01,50000,8.434547908
10,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,3,50000,8.5
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,1,96,5560,25,14,5,150000,8.52
11,1,0,2,0,2600,2600,0.55,NA,6,0,NA,9,3,72,1668,25,16,10,6.00E+05,8.59
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,72,4003.2,20,NA,1,8593.75,8.653846154
7,0,2,0,1,10,10,10,-7.08,1,0,NA,8,3,72,4003.2,20,NA,10,10234.375,8.653846154
11,1,0,2,0,1750,1750,0.875,-21.91666667,7,0,64,3,3,96,3500,24,12,0.985425518,3.00E+05,8.66
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,18,NA,25,16,10,1100000,8.726899394
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,96,NA,25,16,0.01,550000,8.75
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,96,NA,25,16,1,550000,8.75
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,96,3300,25,14,1,5.00E+05,8.755129959
11,1,0,2,0,1250,1250,1,-30.8,3,0,NA,1,3,72,5000,25,12,40,NA,8.76
6,1,0,2,0,NA,NA,NA,-27.8,3,0,NA,3,3,96,2000,25,12,30,2270000,8.767391062
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,72,4000,25,12,1,2500000,8.776595442
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,96,4000,25,12,5,2500000,8.785047226
11,1,0,2,0,2750,2750,1,-38,3,0,NA,3,3,72,5000,25,12,5,NA,8.94
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,96,3300,25,14,1,5.00E+05,8.951406449
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,120,4000,25,12,10,2500000,9.00000018
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,72,NA,25,16,0.001,550000,9.18
12,1,5,0,1,10,10,10,NA,3,400,NA,8,3,48,8340,25,12,5,3.00E+06,9.207708785
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,120,4000,25,12,5,2500000,9.285714359
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,72,NA,25,16,0.001,NA,9.319526627
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,0,48,NA,25,16,1,550000,9.32
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,60,10000,25,12,0.18,2000,9.4
2,0,0,2,0,3000,3000,1,NA,1,0,NA,3,3,96,6000,23,14,10,898466257.7,9.425287356
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,96,NA,25,16,0.1,550000,9.46
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,144,4000,25,12,10,2500000,9.482758702
10,1,3,1,2,3500,10,10,NA,7,100,95,8,2,96,4448,24,16,0.14,50000,9.5
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,48,4000,25,12,10,2500000,9.629629432
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,144,4000,25,12,5,2500000,9.852216415
10,1,3,1,2,3500,10,10,NA,7,100,92,3,3,96,4448,24,16,3,50000,10
14,1,6,3,4,93.1,93.1,93.1,NA,7,200,99,8,4,72,NA,22.5,NA,1,10000,10.06881339
14,1,0,2,0,160,160,3.5,-24.3,8,NA,NA,3,3,96,6672,19,12,2,1.00E+05,10.1
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,58.84,3,1,48,NA,25,16,0.1,550000,10.23
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,168,3892,20,12,10,10000,10.27018485
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,24,4000,25,12,50,2500000,10.3030306
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,24,6672,22,24,5,NA,10.35502817
14,1,3,1,2,10000,1.5,1.5,NA,7,200,95,8,4,8,NA,22.5,NA,2.5,2.00E+05,10.40580316
14,1,6,3,4,93.1,93.1,93.1,NA,7,200,99,8,4,8,NA,22.5,NA,2.5,2.00E+05,10.52054795
11,1,0,2,0,1250,1250,1,-42,3,0,NA,6,1,72,5000,25,12,20,NA,10.67
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,72,NA,25,16,1,550000,10.7
12,1,3,1,2,3500,45,45,NA,7,110,93.99,3,3,96,5560,25,14,2,150000,10.83636364
10,1,6,3,4,208.295,208.295,208.295,-18.42931937,3,150,NA,8,3,72,5560,25,14,50,1.00E+06,10.85
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,24,10000,25,12,0.09,2000,10.96
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,72,NA,25,16,0.01,550000,11.24
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,48,4000,25,12,10,2500000,11.26760628
11,1,0,2,0,2600,2600,0.55,NA,6,0,NA,9,3,72,1668,25,16,20,6.00E+05,11.3
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,72,3892,20,12,1,10000,11.35840366
11,1,0,2,0,2750,2750,1,-38,3,0,NA,3,3,72,5000,25,12,10,NA,11.36
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,24,4000,25,12,10,2500000,11.61290314
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,168,6672,22,24,5,NA,11.6438349
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,96,NA,25,14,0.01,780000,11.66666667
6,1,0,2,0,NA,NA,NA,-15.8,3,NA,NA,3,3,96,NA,25,12,20,NA,11.71
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,48,3300,25,14,1,5.00E+05,11.82001343
10,1,0,2,0,NA,NA,NA,-28.032,3,0,NA,2,1,96,NA,24,24,0.1,50000,11.97705803
11,1,0,2,0,2750,2750,1,-42.07,3,0,NA,3,1,72,5000,25,12,20,NA,12.03
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,72,3892,20,12,1,10000,12.2793553
12,1,0,2,0,2500,2500,5,-19.6,4,0,92.2,8,3,96,NA,25,NA,10,1.00E+06,12.32
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,96,NA,24,24,0.01,65000,12.33679073
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,24,NA,24,24,0.01,65000,12.36525048
11,1,0,2,0,1250,1250,1,-33.6,3,0,NA,6,3,72,5000,25,12,20,NA,12.39
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,1,72,NA,25,16,0.001,550000,12.63
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,48,6672,22,24,5,NA,12.66490667
9,0,3,1,2,20000,25,25,NA,1,NA,95,8,3,24,4000,20,12,50,NA,12.72727273
12,1,3,1,2,3200,70,70,NA,7,110,97.1,8,3,96,5560,25,14,5,150000,12.78
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,96,4000,25,12,5,2500000,12.90322637
10,1,3,1,2,3500,10,10,NA,7,100,92,3,3,96,4448,24,16,1,50000,13
16,1,3,1,2,1250,11.5,11.5,NA,9,0,95,8,3,48,NA,20,12,10,1600000,13.13131312
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,72,3300,25,14,1,5.00E+05,13.16319678
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,48,10000,25,12,0.18,2000,13.27
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,144,4000,25,12,5,2500000,13.36573521
10,1,3,1,2,20000,1.1,1.1,NA,7,100,99.63,8,5,72,5450,24,NA,12,1000,13.52253758
3,0,3,1,2,20000,25,25,NA,2,0,95,8,3,72,6672,22,24,5,NA,13.55140263
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,2,1,96,NA,24,24,1,50000,13.56275304
12,1,0,2,0,NA,NA,NA,-33.04157549,4,150,42.1,3,1,96,4000,24,14,40,1.00E+06,13.57
4,0,3,1,2,NA,19,19,NA,7,0,NA,8,3,168,3892,20,12,10,10000,13.58824457
10,1,0,2,0,NA,NA,NA,-28.032,3,0,NA,2,1,96,NA,24,24,1,50000,13.59649123
13,1,3,1,2,NA,2,2,NA,5,90,92.13,8,2,48,1300,20,16,0.1,250000,13.7
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,48,4000,25,12,5,2500000,13.70370284
5,1,3,1,2,3500,10,10,NA,7,100,95,8,3,96,4448,24,16,13,25000,14
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,48,3300,25,14,1,5.00E+05,14.00268637
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,144,4000,25,12,10,2500000,14.09477542
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,24,3300,25,14,0.1,5.00E+05,14.32947583
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,72,4000,25,12,5,2500000,14.45221402
14,1,3,1,2,10000,27.5,27.5,NA,7,200,98,8,4,8,NA,22.5,NA,3,2.00E+05,14.48015563
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,3,3,24,NA,25,16,10,1100000,14.48467969
6,1,0,2,0,700,700,1.75,-10.9,3,NA,65.93,3,3,24,3300,25,14,1,5.00E+05,14.56773315
10,1,0,2,0,2750,2750,1,-17.08306504,3,NA,64.51,3,3,96,NA,24,24,10,64800,14.58652502
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,2,1,96,NA,24,24,0.1,50000,14.60863698
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,96,4000,25,12,50,2500000,14.6110061
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,72,10000,25,12,0.36,2000,14.65
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,72,4000,25,12,50,2500000,14.9184149
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,60,10000,25,12,0.36,2000,14.92
11,1,1,0,1,98,98,98,NA,6,0,99,8,3,36,10000,25,12,0.18,2000,15.02
10,1,0,2,0,NA,NA,NA,NA,3,0,NA,2,1,96,NA,24,24,0.1,50000,15.08097166
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,7,3,96,4000,25,12,1,2500000,15.39923963
12,1,3,1,2,2100,47,47,NA,7,110,92.44,3,3,96,5560,25,14,2,150000,15.49090909
10,1,2,0,1,35,35,5,-23.97812714,3,NA,78.2,3,3,72,NA,24,24,1,65000,15.57354926
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,72,NA,25,16,0.1,550000,15.69
6,1,2,0,1,30,30,2.75,-16.2,3,NA,68.94,3,3,24,3300,25,14,1,5.00E+05,15.69094622
8,1,3,1,2,12500,15,15,NA,3,NA,90,8,3,24,NA,25,14,1,780000,15.75456053
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,4,3,24,4000,25,12,100,2500000,15.75757541
10,1,0,2,0,1500,1500,1.1,-17.04433498,3,0,77.32,3,3,72,NA,25,16,0.1,NA,15.79881657
10,1,0,2,0,3000,3000,0.9,-17.75803144,3,NA,67.17,3,3,96,NA,24,24,10,65000,15.92434411
10,1,0,2,0,85.8,85.8,NA,NA,3,NA,71.1,5,3,6,NA,25,16,2,550000,16
10,1,3,1,2,3500,10,10,NA,7,100,92,3,2,96,4448,24,16,0.53,50000,16
12,1,2,0,1,NA,NA,NA,NA,3,0,NA,8,3,120,4000,25,12,5,2500000,16.01164436
10,1,0,2,0,2750,2750,1,-17.08121827,3,0,77.32,3,3,72,NA,25,16,0.01,550000,16.05
