Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,100,2500000,50.56179775
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,40,1600000,53.04659498
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,5,2.00E+06,53.44827586
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,200,20000,53.47222222
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,10,780000,54.27350427
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,5,2.00E+06,55.73566085
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,10,2.00E+06,56.37181409
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,30,1600000,57.04697987
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,10,780000,58.57253685
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,10,5.00E+05,59.05982906
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,59.63855422
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,50,2.00E+06,60
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,10,780000,61.01426307
8,0,3,1,3,1250,15,15,3,130,4,0,144,2224,25,24,15,NA,61.14285714
5,0,0,0,1,4,4,4,5,0,4,0,96,5000,25,12,70,NA,61.23076923
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,30,1600000,61.29032258
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,25,2.00E+06,62.0754717
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,100,2.00E+06,62.16981132
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,50,334095.0099,62.25849061
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,10,780000,62.26415094
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,50,6.00E+05,62.42140162
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,50,1600000,62.59259259
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,10,1.00E+05,62.95025729
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,50,334095.0099,64.67469366
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,50,2500000,64.94565217
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,10,2500000,65.04065041
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,50,2500000,65.04065041
5,0,2,2,2,NA,NA,NA,3,0,3,0,96,NA,24,24,1,50000,67.23259762
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,5,2.00E+06,68.06596702
5,0,0,2,2,25,25,4,3,0,4,0,96,NA,26,14,10,3.00E+05,68.21963394
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,50,20000,68.27438371
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,10,2500000,68.53932584
